Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, ,
112018Abl_EA8,71,TE,I,14697,437.88,269.88,83.269,746.63,1.10E+07,16.96,2.49E+05,22.395,3.29E+05,1425.8,2.10E+07,62.308,9.16E+05,,
112018Abl_EA8,72,ICM,I,13072,139.04,291.69,85.82,394.78,5.16E+06,16.86,2.20E+05,20.516,2.68E+05,1207.8,1.58E+07,246.76,3.23E+06,,
112018Abl_EA8,73,TE,I,11305,277.67,107.98,84.273,398.31,4.50E+06,17.009,1.92E+05,19.115,2.16E+05,1307.4,1.48E+07,85.811,9.70E+05,,
112018Abl_EA8,74,ICM,I,6452,110.98,258.03,87.624,369.93,2.39E+06,40.367,2.60E+05,19.476,1.26E+05,1026.2,6.62E+06,101.49,6.55E+05,,
112018Abl_EA8,75,TE,I,20826,309.29,387.85,94.314,836.03,1.74E+07,18.432,3.84E+05,24.316,5.06E+05,1323,2.76E+07,88.045,1.83E+06,,
112018Abl_EA8,76,TE,I,16008,143.97,343.04,95.987,242.3,3.88E+06,14.78,2.37E+05,13.852,2.22E+05,1250.4,2.00E+07,35.565,5.69E+05,,
112018Abl_EA8,77,TE,I,10832,228.17,132.21,96.313,425.47,4.61E+06,15.756,1.71E+05,18.389,1.99E+05,1445.5,1.57E+07,89.839,9.73E+05,,
112018Abl_EA8,78,TE,I,11436,254.84,387.86,96.989,451.58,5.16E+06,15.159,1.73E+05,16.043,1.83E+05,1323.6,1.51E+07,62.233,7.12E+05,,
112018Abl_EA8,79,TE,I,43443,332.48,159.56,102.74,415.95,1.81E+07,14.775,6.42E+05,17.4,7.56E+05,1423.1,6.18E+07,72.527,3.15E+06,,
112018Abl_EA8,80,TE,I,17463,199.28,368.18,99.863,338.52,5.91E+06,14.545,2.54E+05,15.467,2.70E+05,1320,2.31E+07,59.241,1.03E+06,,
112018Abl_EA8,81,TE,I,10145,392.85,233.48,99.687,635.63,6.45E+06,16.803,1.70E+05,19.582,1.99E+05,1357.5,1.38E+07,51.914,5.27E+05,,
112018Abl_EA8,82,TE,I,8228,383.56,211.47,100.55,584.91,4.81E+06,16.225,1.34E+05,18.935,1.56E+05,1392.1,1.15E+07,52.672,4.33E+05,,
112018Abl_EA8,83,TE,I,18158,381.08,301.82,101.62,684.46,1.24E+07,15.523,2.82E+05,18.106,3.29E+05,1320.7,2.40E+07,51.484,9.35E+05,,
112018Abl_EA8,84,TE,I,19376,132.76,266.46,100.52,228.17,4.42E+06,16.66,3.23E+05,15.067,2.92E+05,1090.8,2.11E+07,60.14,1.17E+06,,
112018Abl_EA8,85,TE,I,14485,178.38,257.84,105.48,290.47,4.21E+06,14.617,2.12E+05,15.008,2.17E+05,1430.3,2.07E+07,49.431,7.16E+05,,
112018Abl_EA8,86,TE,I,18418,180.14,302.42,106.43,313.28,5.77E+06,13.887,2.56E+05,14.088,2.59E+05,1478.4,2.72E+07,36.78,6.77E+05,,
112018Abl_EA8,87,TE,I,21409,187.44,189.7,106.68,265.78,5.69E+06,14.03,3.00E+05,14.269,3.05E+05,1374.4,2.94E+07,37.281,7.98E+05,,
112018Abl_EA8,88,TE,I,15909,262.22,169.33,108.27,340.85,5.42E+06,14.422,2.29E+05,16.015,2.55E+05,1344,2.14E+07,47.274,7.52E+05,,
112018Abl_EA8,89,TE,I,11503,134.9,214.07,105.91,307.58,3.54E+06,14.935,1.72E+05,13.438,1.55E+05,1169.2,1.35E+07,32.497,3.74E+05,,
112018Abl_EA8,90,TE,I,18151,256.11,333.73,109.08,449.35,8.16E+06,14.948,2.71E+05,16.014,2.91E+05,1301.4,2.36E+07,74.215,1.35E+06,,
112018Abl_EA8,91,TE,I,20876,324.36,289.77,109.63,585.44,1.22E+07,14.852,3.10E+05,16.361,3.42E+05,1328.7,2.77E+07,46.639,9.74E+05,,
112018Abl_EA8,92,TE,I,10612,232.67,278.06,110.8,473.24,5.02E+06,13.815,1.47E+05,15.248,1.62E+05,1312,1.39E+07,45.464,4.82E+05,,
112018Abl_EA8,93,TE,I,8923,225.08,225.54,111.45,451.28,4.03E+06,13.947,1.24E+05,15.592,1.39E+05,1355.4,1.21E+07,51.435,4.59E+05,,
112018Abl_EA8,94,TE,I,7519,279.89,232.73,112.23,629.79,4.74E+06,15.065,1.13E+05,18.709,1.41E+05,1332.1,1.00E+07,89.721,6.75E+05,,
