Embryo_ID,Cellcount,Cell_ID,Identity,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum,
012216_mzFGF4_G4,86,68,EPI,2274,214.03,235.85,32.05,512.27,1.16E+06,26.359,59940,271.14,6.17E+05,676.38,1.54E+06,81.696,1.86E+05,
012216_mzFGF4_G4,86,69,EPI,7102,186.41,255.54,34.062,657.25,4.67E+06,28.192,2.00E+05,363.53,2.58E+06,697.38,4.95E+06,88.365,6.28E+05,
012216_mzFGF4_G4,86,70,TE,15453,421.72,273.57,35.594,707.7,1.09E+07,80.287,1.24E+06,35.427,5.47E+05,775.94,1.20E+07,59.627,9.21E+05,
012216_mzFGF4_G4,86,71,TE,12854,263.88,266,36.176,334.99,4.31E+06,140.63,1.81E+06,106.6,1.37E+06,720.05,9.26E+06,61.983,7.97E+05,
012216_mzFGF4_G4,86,72,EPI,1218,155.97,271.18,31.268,917.83,1.12E+06,28.967,35282,1294.6,1.58E+06,760.04,9.26E+05,91.158,1.11E+05,
012216_mzFGF4_G4,86,73,EPI,3719,132.19,248.98,34.08,1147.9,4.27E+06,28.297,1.05E+05,549.92,2.05E+06,673.3,2.50E+06,77.413,2.88E+05,
012216_mzFGF4_G4,86,74,EPI,11845,173.81,302.81,36.504,564.91,6.69E+06,22.023,2.61E+05,483.73,5.73E+06,722.59,8.56E+06,74.314,8.80E+05,
012216_mzFGF4_G4,86,75,EPI,14102,154.74,337.94,36.106,543.49,7.66E+06,21.311,3.01E+05,440.78,6.22E+06,675.59,9.53E+06,92.011,1.30E+06,
012216_mzFGF4_G4,86,76,TE,8792,345.32,210.8,35.491,496.01,4.36E+06,84.622,7.44E+05,43.047,3.78E+05,819.29,7.20E+06,83.203,7.32E+05,
012216_mzFGF4_G4,86,78,TE,7769,393.95,316.42,33.709,375.6,2.92E+06,53.773,4.18E+05,29.466,2.29E+05,660.76,5.13E+06,58.257,4.53E+05,
012216_mzFGF4_G4,86,79,EPI,4106,170.76,228.52,36.995,595.98,2.45E+06,25.442,1.04E+05,268.78,1.10E+06,710.64,2.92E+06,65.507,2.69E+05,
012216_mzFGF4_G4,86,81,EPI,4856,205.47,285.77,40.221,359.69,1.75E+06,21.867,1.06E+05,298.9,1.45E+06,688.68,3.34E+06,48.744,2.37E+05,
012216_mzFGF4_G4,86,81.2,EPI,4856,216,250,40,313.917,,22.421,,254.163,,652.007,,52.49,,
012216_mzFGF4_G4,86,82,TE,21553,279.59,148.93,44.451,518.94,1.12E+07,32.5,7.00E+05,24.052,5.18E+05,736.73,1.59E+07,34.442,7.42E+05,
012216_mzFGF4_G4,86,84,TE,10206,230.85,183.54,41.209,292.79,2.99E+06,29.16,2.98E+05,31.697,3.24E+05,749.33,7.65E+06,33.283,3.40E+05,
012216_mzFGF4_G4,86,84.2,EPI,10206,229,214,40,237.846,,38.942,,331.867,,638.015,,60.847,,
012216_mzFGF4_G4,86,86,TE,9124,338.44,186.85,45.911,418.63,3.82E+06,74.788,6.82E+05,37.412,3.41E+05,753.39,6.87E+06,86.727,7.91E+05,
012216_mzFGF4_G4,86,87,TE,9913,382.17,211.28,47.581,772.87,7.66E+06,57.41,5.69E+05,30.816,3.05E+05,851.57,8.44E+06,43.523,4.31E+05,
012216_mzFGF4_G4,86,88,EPI,8387,154.17,259.1,43.147,438.99,3.68E+06,22.563,1.89E+05,335.89,2.82E+06,816.03,6.84E+06,49.275,4.13E+05,
012216_mzFGF4_G4,86,89,TE,13287,380.86,346.28,44.963,189.62,2.52E+06,37.31,4.96E+05,20.669,2.75E+05,733.77,9.75E+06,28.477,3.78E+05,
012216_mzFGF4_G4,86,90,EPI,16893,216.19,275.97,53.986,161.67,2.73E+06,28.775,4.86E+05,67.114,1.13E+06,645.49,1.09E+07,29.468,4.98E+05,
012216_mzFGF4_G4,86,91,TE,18869,378.92,287.23,58.074,121.91,2.30E+06,17.897,3.38E+05,15.503,2.93E+05,750.57,1.42E+07,22.183,4.19E+05,
012216_mzFGF4_G4,86,92,TE,14659,326.85,158.88,59.195,363.78,5.33E+06,24.731,3.63E+05,19.965,2.93E+05,790.73,1.16E+07,30.371,4.45E+05,
012216_mzFGF4_G4,86,93,TE,17339,242.56,171.2,59.967,145.46,2.52E+06,27.727,4.81E+05,21.291,3.69E+05,752.31,1.30E+07,23.587,4.09E+05,
012216_mzFGF4_G4,86,94,TE,14370,386.82,178.23,62.268,478.27,6.87E+06,22.27,3.20E+05,20.298,2.92E+05,904.11,1.30E+07,25.903,3.72E+05,
012216_mzFGF4_G4,86,95,TE,6919,202.24,162.98,61.209,177.13,1.23E+06,36.993,2.56E+05,24.373,1.69E+05,550.64,3.81E+06,18.928,1.31E+05,
012216_mzFGF4_G4,86,96,TE,12003,398.04,227.26,61.458,196.85,2.36E+06,20.078,2.41E+05,18.045,2.17E+05,741.01,8.89E+06,23.352,2.80E+05,
