"Embryo_ID","Experiment","Litter","Cellcount","TE_ICM","Treatment","Stage","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","Identity.man","count","pc.icm"
"020314_G4KO_F2","020314_G4KO_F","F",57,"ICM","Control","32_64","CD1/mixed","any","wt","Gata4","ko",18,"DP",0,0
"020314_G4KO_F3","020314_G4KO_F","F",110,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","ko",30,"DP",0,0
"020314_G4KO_F4","020314_G4KO_F","F",100,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","wt",29,"DP",0,0
"020314_G4KO_F5","020314_G4KO_F","F",113,"ICM","Control","90_120","CD1/mixed","any","wt","Gata4","het",41,"DP",0,0
"020314_G4KO_F6","020314_G4KO_F","F",87,"ICM","Control","64_90","CD1/mixed","any","wt","Gata4","wt",34,"DP",0,0
"020314_G4KO_H1","020314_G4KO_H","H",71,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",31,"DP",3,9.67741935483871
"020314_G4KO_H2","020314_G4KO_H","H",68,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","wt",31,"DP",1,3.2258064516129
"020314_G4KO_H3","020314_G4KO_H","H",66,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","wt",23,"DP",2,8.69565217391304
"020314_G4KO_H4","020314_G4KO_H","H",58,"ICM","Littermate","32_64","CD1/mixed","any","wt","Gata4","wt",24,"DP",2,8.33333333333333
"020314_G4KO_H5","020314_G4KO_H","H",93,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","het",35,"DP",2,5.71428571428571
"020314_G4KO_H6","020314_G4KO_H","H",65,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",31,"DP",5,16.1290322580645
"020314_G4KO_H7","020314_G4KO_H","H",81,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",25,"DP",2,8
"020314_G4KO_H8","020314_G4KO_H","H",65,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",26,"DP",3,11.5384615384615
"021814_G4KO_I1","021814_G4KO_I","I",262,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","het",114,"DP",0,0
"021814_G4KO_I2","021814_G4KO_I","I",188,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","ko",79,"DP",0,0
"022014_G4KO_L1","022014_G4KO_L","L",167,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","het",74,"DP",0,0
"022014_G4KO_L2","022014_G4KO_L","L",173,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","wt",71,"DP",0,0
"022014_G4KO_L3","022014_G4KO_L","L",166,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","het",78,"DP",0,0
"022014_G4KO_L4","022014_G4KO_L","L",175,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","het",81,"DP",0,0
"022014_G4KO_L5","022014_G4KO_L","L",173,"ICM","Littermate",">150","CD1/mixed","any","wt","Gata4","ko",77,"DP",0,0
"022014_G4KO_L6","022014_G4KO_L","L",121,"ICM","Littermate","120_150","CD1/mixed","any","wt","Gata4","wt",65,"DP",0,0
"032414_G4KO_P1","032414_G4KO_P","P",78,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",31,"DP",2,6.45161290322581
"032414_G4KO_P2","032414_G4KO_P","P",97,"ICM","Littermate","90_120","CD1/mixed","any","wt","Gata4","wt",34,"DP",0,0
"032414_G4KO_P3","032414_G4KO_P","P",88,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","ko",22,"DP",4,18.1818181818182
"032414_G4KO_P5","032414_G4KO_P","P",87,"ICM","Littermate","64_90","CD1/mixed","any","wt","Gata4","het",36,"DP",1,2.77777777777778
