"Embryo_ID","Identity.hc","lin.count","Litter","Experiment","Treatment","Embryo_size","TE_ICM","Cellcount","icm.count","H_genotype","D_genotype","t0.donor","donor.end","cell_type","lin.type","pc.lin"
"011217Xim_WT_AC2","DP",3,"AC","011217Xim_WT_AC","Chimera","Single","ICM",80,15,"wt","CAG:H2B-GFP",75,"[60,80)","host",0,0
"011217Xim_WT_AC2","DP",3,"AC","011217Xim_WT_AC","Chimera","Single","ICM",80,15,"wt","CAG:H2B-GFP",75,"[60,80)","donor",3,100
"011217Xim_WT_AC2","EPI",6,"AC","011217Xim_WT_AC","Chimera","Single","ICM",80,15,"wt","CAG:H2B-GFP",75,"[60,80)","host",3,50
"011217Xim_WT_AC2","EPI",6,"AC","011217Xim_WT_AC","Chimera","Single","ICM",80,15,"wt","CAG:H2B-GFP",75,"[60,80)","donor",3,50
"011217Xim_WT_AC2","PRE",6,"AC","011217Xim_WT_AC","Chimera","Single","ICM",80,15,"wt","CAG:H2B-GFP",75,"[60,80)","host",2,33.3333333333333
"011217Xim_WT_AC2","PRE",6,"AC","011217Xim_WT_AC","Chimera","Single","ICM",80,15,"wt","CAG:H2B-GFP",75,"[60,80)","donor",4,66.6666666666667
"011217Xim_WT_AC2","TE",65,"AC","011217Xim_WT_AC","Chimera","Single","TE",80,15,"wt","CAG:H2B-GFP",75,"[60,80)","donor",35,53.8461538461538
"011217Xim_WT_AC2","TE",65,"AC","011217Xim_WT_AC","Chimera","Single","TE",80,15,"wt","CAG:H2B-GFP",75,"[60,80)","host",30,46.1538461538462
"011217Xim_WT_AC3","DP",3,"AC","011217Xim_WT_AC","Chimera","Single","ICM",77,12,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
"011217Xim_WT_AC3","DP",3,"AC","011217Xim_WT_AC","Chimera","Single","ICM",77,12,"wt","CAG:H2B-GFP",75,"[80,100]","donor",3,100
"011217Xim_WT_AC3","EPI",5,"AC","011217Xim_WT_AC","Chimera","Single","ICM",77,12,"wt","CAG:H2B-GFP",75,"[80,100]","donor",5,100
"011217Xim_WT_AC3","EPI",5,"AC","011217Xim_WT_AC","Chimera","Single","ICM",77,12,"wt","CAG:H2B-GFP",75,"[80,100]","host",0,0
