"Exp_date","Embryo_ID","Litter","Genotype1","Stage.t0","Cellcount","Treatment","ES_culture","ESC_line","ESC_genotype","icm.count","D_cells","EPI","ESC","PRE","esc.end"
20180801,"080118Xim_WT_CF3","CF","wt","8cell",64,"Control","2i/LIF","H2B-tdTomato","no.esc",16,"0",4,0,3,"0"
20180801,"080118Xim_WT_CG1","CG","wt","8cell",110,"Control","S/LIF","H2B-tdTomato","no.esc",23,"0",6,0,17,"0"
20180801,"080118Xim_WT_CG2","CG","wt","8cell",95,"Control","S/LIF","H2B-tdTomato","no.esc",8,"0",6,0,2,"0"
20180801,"080118Xim_WT_CH1","CH","wt","blastocyst",61,"Littermate","2i/LIF","H2B-tdTomato","no.esc",20,"0",9,0,3,"0"
20180801,"080118Xim_WT_CH2","CH","wt","blastocyst",59,"Littermate","2i/LIF","H2B-tdTomato","no.esc",24,"0",4,0,3,"0"
20180801,"080118Xim_WT_CH3","CH","wt","blastocyst",101,"Control","2i/LIF","H2B-tdTomato","no.esc",27,"0",18,0,9,"0"
20180801,"080118Xim_WT_CH4","CH","wt","blastocyst",133,"Control","2i/LIF","H2B-tdTomato","no.esc",54,"0",28,0,26,"0"
20180806,"080618Xim_F4_CK1","CK","ko","8cell",130,"Control","2i/LIF","H2B-tdTomato","no.esc",32,"0",32,0,0,"0"
20180807,"080718Xim_WT_CLCM1","CLCM","wt","8cell",114,"Control","2i/LIF","H2B-tdTomato","no.esc",19,"0",6,0,13,"0"
20180807,"080718Xim_WT_CLCM10","CLCM","wt","8cell",145,"Chimera","2i/LIF","H2B-tdTomato","wt",29,"1",16,0,13,"0"
20180807,"080718Xim_WT_CLCM13","CLCM","wt","8cell",126,"Chimera","2i/LIF","H2B-tdTomato","wt",23,"1",11,0,12,"0"
20180807,"080718Xim_WT_CLCM15","CLCM","wt","8cell",160,"Chimera","2i/LIF","H2B-tdTomato","wt",43,"1",21,0,22,"0"
20180807,"080718Xim_WT_CLCM2","CLCM","wt","8cell",127,"Control","2i/LIF","H2B-tdTomato","no.esc",21,"0",10,0,11,"0"
20180807,"080718Xim_WT_CLCM3","CLCM","wt","8cell",105,"Control","2i/LIF","H2B-tdTomato","no.esc",14,"0",5,0,9,"0"
20180807,"080718Xim_WT_CLCM4","CLCM","wt","8cell",105,"Control","2i/LIF","H2B-tdTomato","no.esc",10,"0",5,0,5,"0"
20180807,"080718Xim_WT_CLCM5","CLCM","wt","8cell",137,"Control","2i/LIF","H2B-tdTomato","no.esc",25,"0",11,0,14,"0"
20180807,"080718Xim_WT_CLCM6","CLCM","wt","8cell",105,"Control","2i/LIF","H2B-tdTomato","no.esc",19,"0",6,0,12,"0"
20180807,"080718Xim_WT_CLCM7","CLCM","wt","8cell",131,"Control","2i/LIF","H2B-tdTomato","no.esc",22,"0",7,0,15,"0"
20180807,"080718Xim_WT_CLCM8","CLCM","wt","8cell",105,"Control","2i/LIF","H2B-tdTomato","no.esc",19,"0",6,0,12,"0"
20180807,"080718Xim_WT_CLCM9","CLCM","wt","8cell",117,"Control","2i/LIF","H2B-tdTomato","no.esc",18,"0",8,0,10,"0"
20180811,"081118Xim_F4_CQ2","CQ","ko","8cell",113,"Control","2i/LIF","H2B-tdTomato","no.esc",41,"0",41,0,0,"0"
20180811,"081118Xim_F4_CQ5","CQ","ko","8cell",123,"Chimera","2i/LIF","H2B-tdTomato","wt",15,"2",15,0,0,"0"
20181024,"102418Xim_F4_CR1","CR","mosaic","8cell",80,"Control","S/LIF","H2B-tdTomato","no.esc",14,"0",10,0,0,"0"
20181024,"102418Xim_F4_CR2","CR","mosaic","8cell",105,"Control","S/LIF","H2B-tdTomato","no.esc",22,"0",13,0,9,"0"
20181024,"102418Xim_F4_CR3","CR","ko","8cell",71,"Control","S/LIF","H2B-tdTomato","no.esc",8,"0",7,0,0,"0"
20181026,"102618Xim_F4_CS10","CS","ko","blastocyst",67,"Control","2i/LIF","H2B-tdTomato","no.esc",29,"0",0,0,29,"0"
20181026,"102618Xim_F4_CS13","CS","ko","blastocyst",48,"Littermate","2i/LIF","H2B-tdTomato","no.esc",23,"0",5,0,1,"0"
20181026,"102618Xim_F4_CS14","CS","mosaic","blastocyst",57,"Littermate","2i/LIF","H2B-tdTomato","no.esc",31,"0",14,0,5,"0"
20181026,"102618Xim_F4_CS15","CS","unknown","blastocyst",59,"Littermate","2i/LIF","H2B-tdTomato","no.esc",26,"0",22,0,0,"0"
20181026,"102618Xim_F4_CS4","CS","ko","blastocyst",106,"Chimera","2i/LIF","H2B-tdTomato","wt",45,"8-12",0,0,45,"0"
20181026,"102618Xim_F4_CS8","CS","mosaic","blastocyst",88,"Control","2i/LIF","H2B-tdTomato","no.esc",30,"0",2,0,28,"0"
20181026,"102618Xim_F4_CS9","CS","ko","blastocyst",93,"Control","2i/LIF","H2B-tdTomato","no.esc",33,"0",0,0,33,"0"
20181026,"102618Xim_F4_CT1","CT","ko","blastocyst",115,"Control","2i/LIF","H2B-tdTomato","no.esc",53,"0",53,0,0,"0"
20181026,"102618Xim_F4_CT11","CT","ko","blastocyst",61,"Littermate","2i/LIF","H2B-tdTomato","no.esc",34,"0",11,0,0,"0"
20181026,"102618Xim_F4_CT12","CT","fl/ko","blastocyst",49,"Littermate","2i/LIF","H2B-tdTomato","no.esc",24,"0",7,0,1,"0"
20181026,"102618Xim_F4_CT13","CT","fl/ko","blastocyst",65,"Littermate","2i/LIF","H2B-tdTomato","no.esc",34,"0",9,0,4,"0"
