"Embryo_ID","Cellcount","TE_ICM","Treatment","Stage","Gene1","Genotype1","Background","Gene2","Genotype2","icm.count","Identity.man","count","pc.icm"
"AV6",54,"ICM","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",30,"PRE",0,0
"AV8",58,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",25,"PRE",5,20
"AV9",54,"ICM","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",25,"PRE",0,0
"B1",133,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",41,"PRE",24,58.5365853658537
"B2",126,"ICM","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",27,"PRE",0,0
"B3",146,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",53,"PRE",32,60.377358490566
"B4",136,"ICM","Littermate",">128 cell","Gata6","ko","CD1/mixed","any","wt",34,"PRE",0,0
"B5",131,"ICM","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",37,"PRE",18,48.6486486486487
"B6",140,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",44,"PRE",26,59.0909090909091
"B7",138,"ICM","Littermate",">128 cell","Gata6","ko","CD1/mixed","any","wt",27,"PRE",0,0
"C1",66,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",26,"PRE",2,7.69230769230769
"C2",65,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",22,"PRE",6,27.2727272727273
"C3",79,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",22,"PRE",9,40.9090909090909
"C4",59,"ICM","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",28,"PRE",0,0
"D1",59,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",25,"PRE",3,12
"D2",51,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",15,"PRE",1,6.66666666666667
"D3",66,"ICM","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",31,"PRE",0,0
"D4",62,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",31,"PRE",8,25.8064516129032
"D5",78,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",22,"PRE",11,50
"E1",217,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",62,"PRE",34,54.8387096774194
"E2",171,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",61,"PRE",45,73.7704918032787
"E3",179,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",58,"PRE",35,60.3448275862069
"F1",145,"ICM","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",33,"PRE",9,27.2727272727273
"F2",145,"ICM","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",36,"PRE",20,55.5555555555556
"F3",147,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",52,"PRE",33,63.4615384615385
"G1",61,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",30,"PRE",2,6.66666666666667
"G10",52,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",20,"PRE",2,10
"G11",47,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",15,"PRE",0,0
"G12",68,"ICM","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",25,"PRE",4,16
"G13",80,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",23,"PRE",5,21.7391304347826
"G2",44,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",20,"PRE",2,10
"G3",44,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",14,"PRE",0,0
"G4",61,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",25,"PRE",5,20
"G5",64,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",27,"PRE",0,0
"G6",60,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",21,"PRE",3,14.2857142857143
"G7",47,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",17,"PRE",0,0
"G8",63,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",25,"PRE",0,0
"G9",45,"ICM","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",18,"PRE",0,0
"I1",104,"ICM","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",28,"PRE",15,53.5714285714286
"I2",110,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",34,"PRE",8,23.5294117647059
"I3",116,"ICM","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",41,"PRE",23,56.0975609756098
"I4",107,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",35,"PRE",8,22.8571428571429
"I5",50,"ICM","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",11,"PRE",2,18.1818181818182
"I6",115,"ICM","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",49,"PRE",26,53.0612244897959
"K1",166,"ICM","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",48,"PRE",33,68.75
"K2",161,"ICM","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",39,"PRE",17,43.5897435897436
"K3",166,"ICM","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",37,"PRE",16,43.2432432432432
"M1",96,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",27,"PRE",14,51.8518518518518
"M2",96,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",28,"PRE",14,50
"M3",109,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",31,"PRE",2,6.45161290322581
"M4",94,"ICM","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",41,"PRE",0,0
"M5",83,"ICM","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",29,"PRE",0,0
"M6",85,"ICM","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",35,"PRE",0,0
"M7",91,"ICM","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",25,"PRE",10,40
"AK1",146,"TE","Littermate",">128 cell","Gata6","ko","CD1/mixed","any","wt",29,"TE",117,403.448275862069
"AK4",144,"TE","Littermate",">128 cell","Gata6","ko","CD1/mixed","any","wt",39,"TE",105,269.230769230769
"AM10",49,"TE","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",19,"TE",30,157.894736842105
"AM7",46,"TE","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",25,"TE",21,84
"AV1",61,"TE","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",34,"TE",27,79.4117647058823
"AV10",54,"TE","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",23,"TE",31,134.782608695652
"AV11",58,"TE","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",25,"TE",33,132
"AV3",65,"TE","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",29,"TE",35,120.689655172414
"AV4",54,"TE","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",25,"TE",29,116
"AV6",54,"TE","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",30,"TE",24,80
"AV8",58,"TE","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",25,"TE",33,132
"AV9",54,"TE","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",25,"TE",29,116
"B1",133,"TE","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",41,"TE",92,224.390243902439
"B2",126,"TE","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",27,"TE",99,366.666666666667
"B3",146,"TE","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",53,"TE",93,175.471698113208
"B4",136,"TE","Littermate",">128 cell","Gata6","ko","CD1/mixed","any","wt",34,"TE",102,300
"B5",131,"TE","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",37,"TE",94,254.054054054054
"B6",140,"TE","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",44,"TE",96,218.181818181818
"B7",138,"TE","Littermate",">128 cell","Gata6","ko","CD1/mixed","any","wt",27,"TE",111,411.111111111111
"C1",66,"TE","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",26,"TE",40,153.846153846154
"C2",65,"TE","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",22,"TE",40,181.818181818182
"C3",79,"TE","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",22,"TE",57,259.090909090909
"C4",59,"TE","Littermate","32-64 cell","Gata6","ko","CD1/mixed","any","wt",28,"TE",31,110.714285714286
"D1",59,"TE","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",25,"TE",34,136
"D2",51,"TE","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",15,"TE",36,240
"D3",66,"TE","Littermate","64-128 cell","Gata6","ko","CD1/mixed","any","wt",31,"TE",35,112.903225806452
"D4",62,"TE","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",31,"TE",31,100
"D5",78,"TE","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",22,"TE",56,254.545454545455
"E1",217,"TE","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",62,"TE",143,230.645161290323
"E2",171,"TE","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",61,"TE",106,173.770491803279
"E3",179,"TE","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",58,"TE",108,186.206896551724
"F1",145,"TE","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",33,"TE",98,296.969696969697
"F2",145,"TE","Littermate",">128 cell","Gata6","het","CD1/mixed","any","wt",36,"TE",92,255.555555555556
"F3",147,"TE","Littermate",">128 cell","Gata6","wt","CD1/mixed","any","wt",52,"TE",84,161.538461538462
"G1",61,"TE","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",30,"TE",31,103.333333333333
"G10",52,"TE","Littermate","32-64 cell","Gata6","wt","CD1/mixed","any","wt",20,"TE",32,160
"G11",47,"TE","Littermate","32-64 cell","Gata6","het","CD1/mixed","any","wt",15,"TE",29,193.333333333333
"G12",68,"TE","Littermate","64-128 cell","Gata6","wt","CD1/mixed","any","wt",25,"TE",40,160
"G13",80,"TE","Littermate","64-128 cell","Gata6","het","CD1/mixed","any","wt",23,"TE",53,230.434782608696
