"Experiment","Litter","Embryo_ID","Exp_date","Img_date","Cellcount","TE_ICM","Treatment","Stage","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","litter.median","Identity.hc","count","pc.icm"
"092917G6G4_M","M","092917G6G4_M7",20170929,20171004,182,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","het",59,202,"DN",0,0
"102518G6NG_AK","AK","102518G6NG_AK10",20181025,20181101,94,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Nanog","wt",36,94,"DN",0,0
"102518G6NG_AK","AK","102518G6NG_AK2",20181025,20181101,105,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Nanog","het",36,94,"DN",0,0
"102518G6NG_AK","AK","102518G6NG_AK3",20181025,20181101,104,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Nanog","het",31,94,"DN",0,0
"102518G6NG_AK","AK","102518G6NG_AK4",20181025,20181101,104,"ICM","Littermate","90_120","CD1/mixed","Gata6","het","Nanog","wt",37,94,"DN",0,0
"102518G6NG_AK","AK","102518G6NG_AK5",20181025,20181101,88,"ICM","Littermate","64_90","CD1/mixed","Gata6","het","Nanog","wt",32,94,"DN",0,0
"102518G6NG_AK","AK","102518G6NG_AK7",20181025,20181101,84,"ICM","Littermate","64_90","CD1/mixed","Gata6","het","Nanog","het",26,94,"DN",0,0
"102518G6NG_AK","AK","102518G6NG_AK9",20181025,20181101,94,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Nanog","wt",37,94,"DN",0,0
"102918G6NG_AL","AL","102918G6NG_AL1",20181029,20181102,79,"ICM","Littermate","64_90","CD1/mixed","Gata6","het","Nanog","het",24,79,"DN",0,0
"102918G6NG_AL","AL","102918G6NG_AL3",20181029,20181102,88,"ICM","Littermate","64_90","CD1/mixed","Gata6","het","Nanog","wt",28,79,"DN",0,0
"102918G6NG_AL","AL","102918G6NG_AL4",20181029,20181102,84,"ICM","Littermate","64_90","CD1/mixed","Gata6","wt","Nanog","wt",26,79,"DN",0,0
"102918G6NG_AL","AL","102918G6NG_AL5",20181029,20181102,90,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Nanog","het",27,79,"DN",0,0
"102918G6NG_AL","AL","102918G6NG_AL6",20181029,20181102,67,"ICM","Littermate","64_90","CD1/mixed","Gata6","het","Nanog","wt",21,79,"DN",0,0
"102918G6NG_AL","AL","102918G6NG_AL7",20181029,20181102,69,"ICM","Littermate","64_90","CD1/mixed","Gata6","wt","Nanog","het",19,79,"DN",0,0
"102918G6NG_AL","AL","102918G6NG_AL8",20181029,20181102,63,"ICM","Littermate","32_64","CD1/mixed","Gata6","wt","Nanog","het",15,79,"DN",0,0
"102918G6NG_AL","AL","102918G6NG_AL9",20181029,20181102,66,"ICM","Littermate","64_90","CD1/mixed","Gata6","wt","Nanog","wt",20,79,"DN",0,0
"102918G6NG_AM","AM","102918G6NG_AM1",20181029,20181102,32,"ICM","Littermate","32_64","CD1/mixed","Gata6","het","Nanog","wt",13,65,"DN",0,0
"102918G6NG_AM","AM","102918G6NG_AM2",20181029,20181102,65,"ICM","Littermate","64_90","CD1/mixed","Gata6","het","Nanog","wt",23,65,"DN",0,0
"102918G6NG_AM","AM","102918G6NG_AM3",20181029,20181102,72,"ICM","Littermate","64_90","CD1/mixed","Gata6","wt","Nanog","wt",19,65,"DN",0,0
"102918G6NG_AM","AM","102918G6NG_AM4",20181029,20181102,69,"ICM","Littermate","64_90","CD1/mixed","Gata6","het","Nanog","het",14,65,"DN",0,0
"102918G6NG_AM","AM","102918G6NG_AM5",20181029,20181102,58,"ICM","Littermate","32_64","CD1/mixed","Gata6","wt","Nanog","wt",22,65,"DN",0,0
"102918G6NG_AM","AM","102918G6NG_AM6",20181029,20181102,65,"ICM","Littermate","64_90","CD1/mixed","Gata6","wt","Nanog","het",16,65,"DN",0,0
"102918G6NG_AM","AM","102918G6NG_AM8",20181029,20181102,62,"ICM","Littermate","32_64","CD1/mixed","Gata6","wt","Nanog","het",26,65,"DN",0,0
"103018G6NG_AN","AN","103018G6NG_AN1",20181030,20181101,130,"ICM","Littermate","120_150","CD1/mixed","Gata6","wt","Nanog","wt",35,133,"DN",0,0
"103018G6NG_AN","AN","103018G6NG_AN2",20181030,20181101,147,"ICM","Littermate","120_150","CD1/mixed","Gata6","wt","Nanog","wt",51,133,"DN",0,0
"103018G6NG_AN","AN","103018G6NG_AN3",20181030,20181101,133,"ICM","Littermate","120_150","CD1/mixed","Gata6","wt","Nanog","het",36,133,"DN",0,0
"103018G6NG_AN","AN","103018G6NG_AN4",20181030,20181101,118,"ICM","Littermate","90_120","CD1/mixed","Gata6","wt","Nanog","wt",35,133,"DN",0,0
"103018G6NG_AN","AN","103018G6NG_AN5",20181030,20181101,152,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Nanog","het",59,133,"DN",0,0
"111017G6G4_N","N","111017G6G4_N1",20171110,20171116,159,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","het",62,169,"DN",0,0
"111017G6G4_N","N","111017G6G4_N2",20171110,20171116,155,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","wt",48,169,"DN",0,0
"111017G6G4_N","N","111017G6G4_N3",20171110,20171116,177,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","wt",74,169,"DN",0,0
"111017G6G4_N","N","111017G6G4_N4",20171110,20171116,169,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Gata4","het",69,169,"DN",0,0
"111017G6G4_N","N","111017G6G4_N5",20171110,20171116,166,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","het",61,169,"DN",0,0
"111017G6G4_N","N","111017G6G4_N6",20171110,20171116,178,"ICM","Littermate",">150","CD1/mixed","Gata6","het","Gata4","het",74,169,"DN",0,0
"121118G6NG_AO","AO","121118G6NG_AO1",20181211,20181213,154,"ICM","Littermate",">150","CD1/mixed","Gata6","wt","Nanog","het",54,154,"DN",0,0
