"Experiment","Litter","Embryo_ID","Treatment","Cellcount","TE_ICM","icm.count","H_genotype","D_genotype","Embryo_size","t0.donor","donor.end","Identity.hc","lin.count","pc.icm"
"031818Xim_WT_AO","AO","031818Xim_WT_AO2","Chimera",79,"ICM",23,"wt","CAG:H2B-GFP","Single",50,"[80,100]","PRE",12,52.1739130434783
"031818Xim_WT_AO","AO","031818Xim_WT_AO3","Chimera",93,"ICM",22,"wt","CAG:H2B-GFP","Single",50,"[20,40)","PRE",16,72.7272727272727
"031818Xim_WT_AO","AO","031818Xim_WT_AO4","Chimera",96,"ICM",19,"wt","CAG:H2B-GFP","Single",50,"[60,80)","PRE",8,42.1052631578947
"031818Xim_WT_AO","AO","031818Xim_WT_AO5","Chimera",111,"ICM",22,"wt","CAG:H2B-GFP","Single",50,"[60,80)","PRE",11,50
"031818Xim_WT_AO","AO","031818Xim_WT_AO6","Chimera",97,"ICM",13,"wt","CAG:H2B-GFP","Single",50,"[80,100]","PRE",8,61.5384615384615
"031818Xim_WT_AO","AO","031818Xim_WT_AO7","Chimera",106,"ICM",23,"wt","CAG:H2B-GFP","Single",50,"[40,60)","PRE",16,69.5652173913043
"031818Xim_WT_AO","AO","031818Xim_WT_AO8","Chimera",72,"ICM",9,"wt","CAG:H2B-GFP","Single",50,"[80,100]","PRE",4,44.4444444444444
"031818Xim_WT_AO","AO","031818Xim_WT_AO9","Chimera",63,"ICM",15,"wt","CAG:H2B-GFP","Single",50,"[40,60)","PRE",9,60
"041318Xim_G6_AW","AW","041318Xim_G6_AW1","Control",80,"ICM",24,"CAG:H2B-GFP","0","Single",0,"[0,20)","PRE",6,25
"041318Xim_G6_AW","AW","041318Xim_G6_AW10","Control",61,"ICM",15,"wt","0","Single",0,"[0,20)","PRE",1,6.66666666666667
"041318Xim_G6_AW","AW","041318Xim_G6_AW11","Chimera",93,"ICM",33,"het","CAG:H2B-GFP","Single",50,"[60,80)","PRE",9,27.2727272727273
"041318Xim_G6_AW","AW","041318Xim_G6_AW12","Chimera",98,"ICM",30,"mosaic","CAG:H2B-GFP","Single",50,"[40,60)","PRE",15,50
"041318Xim_G6_AW","AW","041318Xim_G6_AW13","Chimera",65,"ICM",15,"ko","CAG:H2B-GFP","Single",50,"[80,100]","PRE",9,60
