"Experiment","Litter","Embryo_ID","Exp_date","Img_date","Cellcount","TE_ICM","Treatment","target","Recovery","Background","Gene1","Genotype1","Gene2","Genotype2","icm.count","group.median","litter.median.t0","Cell_diff","Stage.t0","Cellcount_t0","Identity.hc","count","Gene3","Genotype3","target_t0","pc.icm"
"013118Abl_CLa.Littermate.Pdgfra.wt","CL","013118Abl_CL6",20180131,20180202,62,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",22,64,64,"zero","[50,70)",62,"PRE",4,NA,NA,NA,18.1818181818182
"013118Abl_CLa.Littermate.Pdgfra.wt","CL","013118Abl_CL7",20180131,20180202,62,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",25,64,64,"zero","[50,70)",62,"PRE",5,NA,NA,NA,20
"013118Abl_CLa.Littermate.Pdgfra.wt","CL","013118Abl_CL8",20180131,20180202,64,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",33,64,64,"zero","[50,70)",64,"PRE",22,NA,NA,NA,66.6666666666667
"013118Abl_CLa.Littermate.Pdgfra.wt","CL","013118Abl_CL9",20180131,20180202,71,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",24,64,64,"zero","[50,70)",71,"PRE",9,NA,NA,NA,37.5
"013118Abl_CLb.Littermate.Pdgfra.wt","CL","013118Abl_CL10",20180131,20180202,63,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",27,64,64,"zero","[50,70)",63,"PRE",0,NA,NA,NA,0
"013118Abl_CLb.Littermate.Pdgfra.wt","CL","013118Abl_CL11",20180131,20180202,64,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",22,64,64,"zero","[50,70)",64,"PRE",0,NA,NA,NA,0
"013118Abl_CLb.Littermate.Pdgfra.wt","CL","013118Abl_CL12",20180131,20180202,62,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",31,64,64,"zero","[50,70)",62,"PRE",2,NA,NA,NA,6.45161290322581
"013118Abl_CLb.Littermate.Pdgfra.wt","CL","013118Abl_CL13",20180131,20180202,64,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",28,64,64,"zero","[50,70)",64,"PRE",2,NA,NA,NA,7.14285714285714
"013118Abl_CLb.Littermate.Pdgfra.wt","CL","013118Abl_CL14",20180131,20180202,64,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",31,64,64,"zero","[50,70)",64,"PRE",9,NA,NA,NA,29.0322580645161
"013118Abl_CMa.Ablated.Pdgfra.het","CM","013118Abl_CM2",20180131,20180207,110,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","wt",30,110,68,"kill_0.5","[50,70)",0,"PRE",13,NA,NA,NA,43.3333333333333
"013118Abl_CMa.Ablated.Pdgfra.het","CM","013118Abl_CM3",20180131,20180207,62,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","wt",8,110,68,"kill_0.5","[50,70)",0,"PRE",5,NA,NA,NA,62.5
"013118Abl_CMa.Control.Pdgfra.het","CM","013118Abl_CM4",20180131,20180207,98,"ICM","Control","none","24h","CD1/mixed","Pdgfra","het","R26","wt",31,98,68,"zero","[50,70)",0,"PRE",13,NA,NA,NA,41.9354838709677
"013118Abl_CMa.Littermate.Pdgfra.wt","CM","013118Abl_CM5",20180131,20180207,75,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",28,75,68,"zero","[50,70)",75,"PRE",12,NA,NA,NA,42.8571428571429
"013118Abl_CMa.Littermate.Pdgfra.wt","CM","013118Abl_CM6",20180131,20180207,80,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",26,75,68,"zero","[50,70)",80,"PRE",10,NA,NA,NA,38.4615384615385
"013118Abl_CMa.Littermate.Pdgfra.wt","CM","013118Abl_CM7",20180131,20180207,62,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",24,75,68,"zero","[50,70)",62,"PRE",7,NA,NA,NA,29.1666666666667
"013118Abl_CMa.Littermate.Pdgfra.wt","CM","013118Abl_CM8",20180131,20180207,68,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",26,75,68,"zero","[50,70)",68,"PRE",13,NA,NA,NA,50
"013118Abl_CMb.Littermate.Pdgfra.wt","CM","013118Abl_CM10",20180131,20180207,63,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",25,65,68,"zero","[50,70)",63,"PRE",8,NA,NA,NA,32
"013118Abl_CMb.Littermate.Pdgfra.wt","CM","013118Abl_CM11",20180131,20180207,94,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",26,65,68,"zero","[50,70)",94,"PRE",7,NA,NA,NA,26.9230769230769
"013118Abl_CMb.Littermate.Pdgfra.wt","CM","013118Abl_CM9",20180131,20180207,65,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",27,65,68,"zero","[50,70)",65,"PRE",2,NA,NA,NA,7.40740740740741
"013118Abl_CNa.Ablated.Pdgfra.het","CN","013118Abl_CN1",20180131,20180207,115,"ICM","Ablated","PRE","24h","CD1/mixed","Pdgfra","het","R26","wt",15,115,110,"kill_0.25","[110,130)",0,"PRE",4,NA,NA,NA,26.6666666666667
"013118Abl_CNa.Littermate.Pdgfra.wt","CN","013118Abl_CN3",20180131,20180207,107,"ICM","Littermate","none","0min","CD1/mixed","Pdgfra","wt","R26","wt",33,107,110,"zero","[110,130)",107,"PRE",12,NA,NA,NA,36.3636363636364
