Embryo_ID,Cell_ID,Identity,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, ,
041218Xim_WT_BH11,54,TE,I,11341,291.77,125.88,34.363,1070.2,1.21E+07,37.809,4.29E+05,165.42,1.88E+06,546.36,6.20E+06,30.417,3.45E+05,,
041218Xim_WT_BH11,55,TE,I,13761,180.39,160.27,36.376,1429.5,1.97E+07,58.48,8.05E+05,128.13,1.76E+06,483.92,6.66E+06,34.705,4.78E+05,,
041218Xim_WT_BH11,55.2,ICM,I,13761,184,184,35,863.248,,41.539,,141.035,,567.036,,37.552,,,
041218Xim_WT_BH11,56,TE,I,16204,327.01,195.13,36.839,913.03,1.48E+07,28.886,4.68E+05,42.629,6.91E+05,616.27,9.99E+06,26.557,4.30E+05,,
041218Xim_WT_BH11,57,ICM,M,9618,115.68,276.19,35.598,1687.2,1.62E+07,35.576,3.42E+05,148.62,1.43E+06,590.26,5.68E+06,158,1.52E+06,,
041218Xim_WT_BH11,58,TE,I,16114,353.72,264.4,41.577,603.74,9.73E+06,30.681,4.94E+05,96.821,1.56E+06,551.45,8.89E+06,26.376,4.25E+05,,
041218Xim_WT_BH11,59,TE,I,9931,234.69,386.94,40.262,1006.3,9.99E+06,38.591,3.83E+05,160.36,1.59E+06,597.5,5.93E+06,28.83,2.86E+05,,
041218Xim_WT_BH11,60,ESC,I,5308,176.67,242.77,37.028,1232.9,6.54E+06,27.113,1.44E+05,62.425,3.31E+05,534.94,2.84E+06,797.78,4.23E+06,,
041218Xim_WT_BH11,61,TE,I,8403,253.96,126.25,41.626,915.24,7.69E+06,37.638,3.16E+05,115.89,9.74E+05,593.15,4.98E+06,26.397,2.22E+05,,
041218Xim_WT_BH11,62,ICM,I,3440,149.01,224.62,38.593,992.92,3.42E+06,32.758,1.13E+05,239.33,8.23E+05,529.37,1.82E+06,145.72,5.01E+05,,
041218Xim_WT_BH11,63,TE,I,8397,289.68,379.78,39.922,1015,8.52E+06,36.949,3.10E+05,148.91,1.25E+06,615.8,5.17E+06,28.666,2.41E+05,,
041218Xim_WT_BH11,64,TE,I,8992,100.76,246.87,44.016,667.96,6.01E+06,34.104,3.07E+05,131.89,1.19E+06,513.95,4.62E+06,72.47,6.52E+05,,
041218Xim_WT_BH11,65,ICM,I,5652,130.88,219.02,45.484,676.7,3.82E+06,31.133,1.76E+05,212.94,1.20E+06,545.76,3.08E+06,94.561,5.34E+05,,
041218Xim_WT_BH11,66,TE,I,14305,345.26,354.14,48.054,808.01,1.16E+07,32.13,4.60E+05,105.82,1.51E+06,512.98,7.34E+06,28.38,4.06E+05,,
041218Xim_WT_BH11,67,TE,I,10342,174.52,365.75,46.012,708.67,7.33E+06,31.204,3.23E+05,141.84,1.47E+06,532.85,5.51E+06,26.435,2.73E+05,,
041218Xim_WT_BH11,68,TE,I,5608,155.61,252.01,46.644,842.48,4.72E+06,26.437,1.48E+05,43.229,2.42E+05,541.06,3.03E+06,795.37,4.46E+06,,
041218Xim_WT_BH11,69,TE,I,8672,125.7,315.73,48.076,646.13,5.60E+06,28.265,2.45E+05,140.89,1.22E+06,579.67,5.03E+06,30.332,2.63E+05,,
041218Xim_WT_BH11,70,ICM,I,8714,125.92,267.32,47.542,795.07,6.93E+06,30.641,2.67E+05,210.48,1.83E+06,561.67,4.89E+06,93.037,8.11E+05,,
041218Xim_WT_BH11,71,TE,I,16985,146.75,184.02,50.882,545.55,9.27E+06,29.024,4.93E+05,98.02,1.66E+06,550.86,9.36E+06,30.286,5.14E+05,,
041218Xim_WT_BH11,72,TE,I,8935,225.14,151.24,55.277,414.31,3.70E+06,23.579,2.11E+05,68.275,6.10E+05,567.08,5.07E+06,24.135,2.16E+05,,
041218Xim_WT_BH11,73,TE,I,18381,327.75,207.89,56.341,439.07,8.07E+06,18.506,3.40E+05,24.648,4.53E+05,519.73,9.55E+06,21.75,4.00E+05,,
041218Xim_WT_BH11,74,TE,I,19001,274.2,144.84,56.282,270.47,5.14E+06,20.451,3.89E+05,29.258,5.56E+05,558.5,1.06E+07,21.635,4.11E+05,,
041218Xim_WT_BH11,75,TE,I,19095,240.75,368.09,57.57,531.09,1.01E+07,26.048,4.97E+05,146.48,2.80E+06,553.74,1.06E+07,24.338,4.65E+05,,
041218Xim_WT_BH11,76,TE,I,10081,171.45,332.16,61.499,418.98,4.22E+06,22.18,2.24E+05,95.397,9.62E+05,652.76,6.58E+06,23.914,2.41E+05,,
041218Xim_WT_BH11,77,TE,I,14785,168.23,293.46,66.082,262.86,3.89E+06,19.477,2.88E+05,65.521,9.69E+05,588.93,8.71E+06,24.769,3.66E+05,,
041218Xim_WT_BH11,78,TE,I,16151,172.61,232.74,66.374,193.67,3.13E+06,16.699,2.70E+05,54.331,8.78E+05,522.63,8.44E+06,30.032,4.85E+05,,
041218Xim_WT_BH11,79,TE,I,21962,288.33,338.93,69.399,298.94,6.57E+06,19.907,4.37E+05,65.07,1.43E+06,663.4,1.46E+07,20.882,4.59E+05,,
041218Xim_WT_BH11,80,TE,I,11362,189.2,211.22,69.411,186.29,2.12E+06,16.425,1.87E+05,50.776,5.77E+05,541.37,6.15E+06,21.807,2.48E+05,,
041218Xim_WT_BH11,81,TE,I,15948,219.68,291.26,72.917,221.73,3.54E+06,17.164,2.74E+05,65.286,1.04E+06,690.02,1.10E+07,20.963,3.34E+05,,
041218Xim_WT_BH11,82,TE,I,15106,242.41,188.44,73.959,150.12,2.27E+06,15.672,2.37E+05,31.948,4.83E+05,698.93,1.06E+07,19.44,2.94E+05,,
041218Xim_WT_BH11,83,TE,I,17550,305.1,265.55,73.089,204.77,3.59E+06,15.443,2.71E+05,49.899,8.76E+05,615.37,1.08E+07,19.104,3.35E+05,,
041218Xim_WT_BH11,84,TE,I,10726,268.57,254.41,76.342,221.53,2.38E+06,15.067,1.62E+05,50.903,5.46E+05,625.77,6.71E+06,19.181,2.06E+05,,
