Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg,CH5.Sum, 
121118G6NG_AO1,99,TE,I,8521,317.34,59.352,41.327,933.1,7.95E+06,68.77,5.86E+05,19.365,1.65E+05,1613,1.37E+07,51.173,4.36E+05,
121118G6NG_AO1,100,TE,I,7063,146.89,90.174,43.011,727.99,5.14E+06,85.486,6.04E+05,23.632,1.67E+05,1542.1,1.09E+07,125.98,8.90E+05,
121118G6NG_AO1,100.2,ICM,I,7063,153,105,38,580.101,,27.285,,32.592,,1566.194,,468.989,,
121118G6NG_AO1,101,TE,I,13256,110.31,134.87,45.247,567.26,7.52E+06,57.52,7.62E+05,19.275,2.56E+05,1663,2.20E+07,37.184,4.93E+05,
121118G6NG_AO1,102,ICM,I,9393,204.61,244.03,42.028,348.9,3.28E+06,15.194,1.43E+05,19.13,1.80E+05,1399.4,1.31E+07,212.27,1.99E+06,
121118G6NG_AO1,103,TE,I,10976,354.13,324.39,42.549,688.78,7.56E+06,36.851,4.04E+05,18.765,2.06E+05,1550.8,1.70E+07,46.472,5.10E+05,
121118G6NG_AO1,105,TE,I,7450,114.93,179.44,43.093,599.61,4.47E+06,93.886,6.99E+05,27.259,2.03E+05,1352.3,1.01E+07,49.994,3.72E+05,
121118G6NG_AO1,106,TE,I,9617,137.4,264.37,44.17,372.28,3.58E+06,53.888,5.18E+05,16.634,1.60E+05,1559.7,1.50E+07,33.764,3.25E+05,
121118G6NG_AO1,107,ICM,I,6334,164.02,235.58,44.912,320.13,2.03E+06,17.766,1.13E+05,23.834,1.51E+05,1479.2,9.37E+06,190.52,1.21E+06,
121118G6NG_AO1,108,ICM,I,7443,237.02,98.399,43.395,495.5,3.69E+06,15.947,1.19E+05,30.055,2.24E+05,1514.8,1.13E+07,617.77,4.60E+06,
121118G6NG_AO1,110,ICM,I,7937,157.97,130.03,45.522,556.75,4.42E+06,16.403,1.30E+05,34.376,2.73E+05,1513.6,1.20E+07,396.66,3.15E+06,
121118G6NG_AO1,111,ICM,I,5919,149.4,196.31,45.101,518.87,3.07E+06,18.038,1.07E+05,30.712,1.82E+05,1731.4,1.02E+07,343.98,2.04E+06,
121118G6NG_AO1,111.2,ICM,I,5919,157,170,45,393.11,,15.457,,26.981,,1597.329,,316.856,,
121118G6NG_AO1,113,TE,I,9231,358.77,117.17,49.488,752.32,6.94E+06,37.75,3.48E+05,18.227,1.68E+05,1376.9,1.27E+07,46.235,4.27E+05,
121118G6NG_AO1,114,TE,I,12641,201,52.82,50.48,670.66,8.48E+06,27.407,3.46E+05,14.934,1.89E+05,1645.8,2.08E+07,30.094,3.80E+05,
121118G6NG_AO1,115,TE,I,4761,335.65,84.598,48.668,746.95,3.56E+06,48.135,2.29E+05,18.931,90132,1415.1,6.74E+06,49.489,2.36E+05,
