Embryo_ID,Cell_ID,TE_ICM,Cell_cycle,Size,X,Y,Z,CH1.Avg,CH1.Sum,CH2.Avg,CH2.Sum,CH3.Avg,CH3.Sum,CH4.Avg,CH4.Sum,CH5.Avg, CH5-Sum, 
091918G6NG_AI8,22,ICM,I,1800,182.44,217.88,14.749,1886.1,3.40E+06,33.454,60217,114.54,2.06E+05,1227.1,2.21E+06,83.36,1.50E+05,
091918G6NG_AI8,23,ICM,I,5689,117.9,257.08,16.466,1610.6,9.16E+06,23.719,1.35E+05,42.31,2.41E+05,1253.9,7.13E+06,828.76,4.71E+06,
091918G6NG_AI8,24,TE,I,7717,76.616,279.81,19.056,1627.9,1.26E+07,316.91,2.45E+06,31.37,2.42E+05,1375.6,1.06E+07,194.42,1.50E+06,
091918G6NG_AI8,25,TE,I,5476,111.73,320.13,19.111,2302.7,1.26E+07,606.41,3.32E+06,38.394,2.10E+05,1354.2,7.42E+06,85.429,4.68E+05,
091918G6NG_AI8,26,TE,I,11543,199.3,346.43,19.65,2128.7,2.46E+07,314.13,3.63E+06,25.726,2.97E+05,1271.6,1.47E+07,83.982,9.69E+05,
091918G6NG_AI8,27,TE,I,8900,343.01,359.85,19.382,1448.2,1.29E+07,125.55,1.12E+06,23.288,2.07E+05,1325.2,1.18E+07,69.817,6.21E+05,
091918G6NG_AI8,28,ICM,I,5549,206.95,273.9,18.817,1294.7,7.18E+06,24.373,1.35E+05,36.377,2.02E+05,1322.6,7.34E+06,622.6,3.45E+06,
091918G6NG_AI8,29,TE,I,3837,264.41,304.81,20.346,2112.2,8.10E+06,235.22,9.03E+05,29.912,1.15E+05,1372.8,5.27E+06,149.69,5.74E+05,
091918G6NG_AI8,30,TE,I,6999,285.3,359.33,22.17,1344.3,9.41E+06,199.82,1.40E+06,27.56,1.93E+05,1348.8,9.44E+06,140.54,9.84E+05,
091918G6NG_AI8,31,ICM,I,2997,163.32,198.04,19.056,1370.9,4.11E+06,17.486,52406,201.09,6.03E+05,1322.5,3.96E+06,83.236,2.49E+05,
091918G6NG_AI8,32,TE,I,6845,373.18,224.64,22.422,2089.8,1.43E+07,159.52,1.09E+06,21.29,1.46E+05,1254.7,8.59E+06,84.147,5.76E+05,
091918G6NG_AI8,33,TE,I,5366,376.24,277.11,22.189,1826.4,9.80E+06,172.22,9.24E+05,27.695,1.49E+05,1197,6.42E+06,122.97,6.60E+05,
091918G6NG_AI8,35,ICM,I,7934,202.22,306.32,22.475,1274.5,1.01E+07,25.16,2.00E+05,35.268,2.80E+05,1361.6,1.08E+07,614.25,4.87E+06,
091918G6NG_AI8,36,ICM,I,5630,140.53,225.35,21.33,1163.7,6.55E+06,16.951,95432,129.32,7.28E+05,1306.7,7.36E+06,71.416,4.02E+05,
091918G6NG_AI8,37,TE,I,4917,62.95,246.15,23.995,1810.1,8.90E+06,390.67,1.92E+06,29.055,1.43E+05,1309.7,6.44E+06,84.449,4.15E+05,
091918G6NG_AI8,38,TE,I,4379,290.98,266.2,22.864,2094.6,9.17E+06,188.64,8.26E+05,23.762,1.04E+05,1252.1,5.48E+06,126.94,5.56E+05,
091918G6NG_AI8,39,TE,I,10368,384.96,315.08,23.438,1380.9,1.43E+07,112.3,1.16E+06,23.591,2.45E+05,1332.3,1.38E+07,74.179,7.69E+05,
091918G6NG_AI8,40,TE,I,6201,254.82,356.27,25.021,1318.4,8.18E+06,185.49,1.15E+06,29.277,1.82E+05,1323.6,8.21E+06,133.88,8.30E+05,
091918G6NG_AI8,41,ICM,I,7157,147.72,329.14,24.936,1257,9.00E+06,27.296,1.95E+05,182.96,1.31E+06,1259.9,9.02E+06,84.649,6.06E+05,
091918G6NG_AI8,42,ICM,I,4933,238.72,226.51,24.564,1246.5,6.15E+06,21.575,1.06E+05,28.991,1.43E+05,1285.1,6.34E+06,586.52,2.89E+06,
091918G6NG_AI8,43,ICM,I,3703,106.32,218.89,24.339,1129.4,4.18E+06,24.263,89847,244.88,9.07E+05,1433.5,5.31E+06,73.625,2.73E+05,
091918G6NG_AI8,44,TE,I,9060,273.97,218.07,27.939,2106.5,1.91E+07,243.41,2.21E+06,24.866,2.25E+05,1344.9,1.22E+07,114.82,1.04E+06,
