Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum, ,
050718Xim_WT_BC6,89,TE,I,3676,261.93,428.6,50.968,2241.1,8.24E+06,2418.1,8.89E+06,75.049,2.76E+05,482.05,1.77E+06,227.44,8.36E+05,,
050718Xim_WT_BC6,90,TE,I,4993,93.606,124.02,52.317,1212.6,6.05E+06,41.732,2.08E+05,25.581,1.28E+05,466.06,2.33E+06,163.51,8.16E+05,,
050718Xim_WT_BC6,91,TE,I,7324,440.86,278.75,51.807,1288.3,9.44E+06,39.222,2.87E+05,22.073,1.62E+05,476.19,3.49E+06,70.343,5.15E+05,,
050718Xim_WT_BC6,92,ICM,I,6275,92.576,161.08,54.501,1076.9,6.76E+06,38.258,2.40E+05,47.061,2.95E+05,447.25,2.81E+06,253.22,1.59E+06,,
050718Xim_WT_BC6,93,ICM,I,1353,89.082,201.06,48.259,1163.6,1.57E+06,48.909,66174,25.175,34062,464.45,6.28E+05,465.98,6.30E+05,,
050718Xim_WT_BC6,94,TE,I,5458,29.633,266.17,53.948,1461.6,7.98E+06,156.23,8.53E+05,26.008,1.42E+05,472.23,2.58E+06,78.115,4.26E+05,,
050718Xim_WT_BC6,95,TE,I,4282,120.99,383.37,54.567,1299.4,5.56E+06,235.71,1.01E+06,21.666,92775,497.59,2.13E+06,60.256,2.58E+05,,
050718Xim_WT_BC6,96,TE,I,3404,435.66,326.34,55.269,1458.8,4.97E+06,35.848,1.22E+05,25.791,87791,477.02,1.62E+06,170.51,5.80E+05,,
050718Xim_WT_BC6,97,TE,I,4229,165.42,415.47,56.687,1414,5.98E+06,856.68,3.62E+06,39.601,1.67E+05,481.24,2.04E+06,143.37,6.06E+05,,
050718Xim_WT_BC6,98,TE,I,7195,139.69,91.664,59.738,1294.6,9.31E+06,35.228,2.53E+05,20.897,1.50E+05,456.57,3.29E+06,209.74,1.51E+06,,
050718Xim_WT_BC6,99,ICM,I,1568,45.612,272,56.014,1112.1,1.74E+06,51.482,80724,28.001,43905,428.59,6.72E+05,376.69,5.91E+05,,
050718Xim_WT_BC6,100,TE,I,4487,191.53,63.601,60.642,922.42,4.14E+06,33.573,1.51E+05,18.545,83211,429.5,1.93E+06,193.45,8.68E+05,,
050718Xim_WT_BC6,101,ICM,I,3929,59.31,150.81,58.115,1177.8,4.63E+06,39.607,1.56E+05,136.17,5.35E+05,477.49,1.88E+06,62.393,2.45E+05,,
050718Xim_WT_BC6,102,ICM,I,2253,54.798,197.96,54.431,1464.2,3.30E+06,49.157,1.11E+05,32.25,72659,474.75,1.07E+06,523.12,1.18E+06,,
050718Xim_WT_BC6,103,ICM,I,4953,72.142,226.93,58.021,992.81,4.92E+06,159.96,7.92E+05,26.807,1.33E+05,423.34,2.10E+06,244.84,1.21E+06,,
050718Xim_WT_BC6,104,ICM,I,725,67.686,161.1,57.279,1035.2,7.51E+05,37.274,27024,240.09,1.74E+05,418.43,3.03E+05,65.583,47548,,
050718Xim_WT_BC6,105,ICM,I,3669,44.523,173.11,59.418,1252.8,4.60E+06,36.075,1.32E+05,90.859,3.33E+05,487.98,1.79E+06,64.828,2.38E+05,,
050718Xim_WT_BC6,105.2,ICM,I,3669,45,192,61,835.961,,34.836,,137.441,,505.155,,86.373,,,
050718Xim_WT_BC6,106,TE,I,7400,49.227,317,62.483,946.29,7.00E+06,202.79,1.50E+06,61.268,4.53E+05,439.07,3.25E+06,53.898,3.99E+05,,
050718Xim_WT_BC6,106.2,ICM,I,7400,51,301,68,627.521,,159.644,,141.753,,438.65,,55.247,,,
050718Xim_WT_BC6,107,TE,I,3574,417.16,370.33,60.375,1670.3,5.97E+06,1493.8,5.34E+06,54.813,1.96E+05,487.2,1.74E+06,69.953,2.50E+05,,
050718Xim_WT_BC6,108,ICM,I,5457,45.651,227.17,59.268,1241.9,6.78E+06,247.25,1.35E+06,28.612,1.56E+05,402.6,2.20E+06,227.41,1.24E+06,,
050718Xim_WT_BC6,108.2,ICM,I,5457,45,237,52,1285.789,,692.205,,44.866,,449.549,,228.838,,,
050718Xim_WT_BC6,109,TE,I,3673,276.24,50.39,62.494,934.14,3.43E+06,29.608,1.09E+05,18.247,67020,462.4,1.70E+06,226.6,8.32E+05,,
050718Xim_WT_BC6,110,TE,I,3039,76.036,349.82,60.806,1309.3,3.98E+06,142.56,4.33E+05,21.553,65501,440.26,1.34E+06,62.356,1.90E+05,,
050718Xim_WT_BC6,111,TE,I,6093,302.53,442.98,62.997,1606.7,9.79E+06,485.39,2.96E+06,32.785,2.00E+05,467.82,2.85E+06,187.98,1.15E+06,,
050718Xim_WT_BC6,112,TE,I,2376,137.76,412.48,62.436,2189.6,5.20E+06,573.14,1.36E+06,29.923,71098,471.27,1.12E+06,53.925,1.28E+05,,
050718Xim_WT_BC6,113,TE,I,6693,336.22,65.763,65.604,933.45,6.25E+06,29.585,1.98E+05,19.822,1.33E+05,463.59,3.10E+06,269.98,1.81E+06,,
050718Xim_WT_BC6,114,ICM,I,3071,103.64,124.4,63.051,800.84,2.46E+06,35.275,1.08E+05,21.535,66135,383.18,1.18E+06,203.69,6.26E+05,,
050718Xim_WT_BC6,115,ICM,I,6570,74.661,259.63,62.48,584.42,3.84E+06,132.41,8.70E+05,42.089,2.77E+05,451.02,2.96E+06,103.83,6.82E+05,,
050718Xim_WT_BC6,115.2,ICM,I,6570,63,272,58,647.799,,375.702,,218.951,,370.646,,66.474,,,
050718Xim_WT_BC6,116,ICM,I,6570,66.159,319.81,59.504,831.08,8.28E+05,612.84,6.10E+05,204.53,2.04E+05,486.27,4.84E+05,81.876,81548,,
050718Xim_WT_BC6,116.2,ICM,I,6570,66.159,319.81,59.504,831.08,8.28E+05,612.84,6.10E+05,204.53,2.04E+05,486.27,4.84E+05,81.876,81548,,
050718Xim_WT_BC6,117,ICM,I,6818,72,132,63,970.098,,35.241,,221.637,,473.293,,60.105,,,
050718Xim_WT_BC6,117.2,ICM,I,6818,88,125,70,736.029,,32.876,,35.355,,407.714,,197.808,,,
050718Xim_WT_BC6,118,TE,I,5849,475.57,209.89,66.373,634.55,3.71E+06,30.105,1.76E+05,20.156,1.18E+05,480.62,2.81E+06,76.399,4.47E+05,,
050718Xim_WT_BC6,119,TE,I,5820,450.88,128.91,68.559,538.02,3.13E+06,31.743,1.85E+05,20.263,1.18E+05,462.38,2.69E+06,68.166,3.97E+05,,
050718Xim_WT_BC6,120,TE,I,4689,22.248,191.97,70.618,966.56,4.53E+06,35.262,1.65E+05,28.519,1.34E+05,463.76,2.17E+06,86.501,4.06E+05,,
050718Xim_WT_BC6,121,ICM,I,6785,72.424,321.74,67.671,825.78,5.60E+06,433.84,2.94E+06,62.078,4.21E+05,426.6,2.89E+06,266.36,1.81E+06,,
050718Xim_WT_BC6,122,TE,I,5164,216.12,448.89,68.387,1174.5,6.07E+06,1302,6.72E+06,49.461,2.55E+05,463.47,2.39E+06,81.604,4.21E+05,,
