Embryo Id,Cell ID,Identity,Cell_cycle,Size,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
061218Xim_G6_BH12,91,TE,I,10610,448.14,196.02,76.138,592.59,6.29E+06,932.82,9.90E+06,41.494,4.40E+05,373.55,3.96E+06,82.903,8.80E+05
061218Xim_G6_BH12,92,ICM,I,16020,111.92,277.19,72.711,178.63,2.86E+06,30.48,4.88E+05,17.697,2.84E+05,404.56,6.48E+06,22.201,3.56E+05
061218Xim_G6_BH12,93,TE,I,13703,106,327.83,74.464,239.26,3.28E+06,405.72,5.56E+06,25.653,3.52E+05,448.76,6.15E+06,26.416,3.62E+05
061218Xim_G6_BH12,96,TE,I,15930,353.35,408.96,79.262,387.14,6.17E+06,250.8,4.00E+06,24.769,3.95E+05,437.17,6.96E+06,41.298,6.58E+05
061218Xim_G6_BH12,98,TE,I,10021,430.57,358.68,84.607,580.07,5.81E+06,308.22,3.09E+06,23.617,2.37E+05,399.09,4.00E+06,36.824,3.69E+05
061218Xim_G6_BH12,99,TE,I,13371,200.96,402.95,85.55,209.53,2.80E+06,125.25,1.67E+06,16.684,2.23E+05,557.5,7.45E+06,21.157,2.83E+05
061218Xim_G6_BH12,100,TE,I,19533,279.81,423.27,83.353,216.49,4.23E+06,138.35,2.70E+06,21.838,4.27E+05,414.89,8.10E+06,31.77,6.21E+05
061218Xim_G6_BH12,101,TE,I,5816,84.092,232.44,82.688,215.59,1.25E+06,379.2,2.21E+06,24.804,1.44E+05,418.63,2.43E+06,29.49,1.72E+05
061218Xim_G6_BH12,102,TE,I,14975,353.48,106.94,86.195,463.49,6.94E+06,407.32,6.10E+06,26.161,3.92E+05,358.59,5.37E+06,60.042,8.99E+05
061218Xim_G6_BH12,103,TE,I,12034,421.44,152.01,91.876,579.53,6.97E+06,474.42,5.71E+06,28.647,3.45E+05,395.36,4.76E+06,57.668,6.94E+05
061218Xim_G6_BH12,104,TE,I,12975,259.74,111.03,94.607,385.52,5.00E+06,509.22,6.61E+06,27.29,3.54E+05,466.87,6.06E+06,31.675,4.11E+05
061218Xim_G6_BH12,105,TE,I,16471,442.47,297.69,89.944,235.68,3.88E+06,445.22,7.33E+06,26.481,4.36E+05,527.94,8.70E+06,25.819,4.25E+05
061218Xim_G6_BH12,106,TE,I,15147,396.96,356.6,95.215,303.66,4.60E+06,183.56,2.78E+06,19.753,2.99E+05,535.43,8.11E+06,37.41,5.67E+05
061218Xim_G6_BH12,108,TE,I,12768,111.9,223.81,97.807,118.88,1.52E+06,266.67,3.40E+06,21.022,2.68E+05,365.71,4.67E+06,22.447,2.87E+05
