Embryo Id,Cell ID,Size,Identity,X,Y,Z,CH1-Avg,CH1-Sum,CH2-Avg,CH2-Sum,CH3-Avg,CH3-Sum,CH4-Avg,CH4-Sum,CH5-Avg,CH5-Sum
042617Xim_G6_AR2,58,14306,TE,254.57,351.39,42.335,531.71,7.61E+06,639.27,9.15E+06,64.754,9.26E+05,811.57,1.16E+07,110.05,1.57E+06
042617Xim_G6_AR2,59,7579,TE,210.59,168.03,46.028,700.22,5.31E+06,556.37,4.22E+06,39.051,2.96E+05,956.12,7.25E+06,144.51,1.10E+06
042617Xim_G6_AR2,60,8339,TE,254.1,160.69,47.602,661.94,5.52E+06,513.04,4.28E+06,37.187,3.10E+05,891.35,7.43E+06,123.5,1.03E+06
042617Xim_G6_AR2,62.2,6134,ICM,126,229,53,439.175,,398.873,,286.391,,904.684,,56.739,
042617Xim_G6_AR2,62,6134,ICM,142,244,53,439.175,,398.873,,286.391,,904.684,,56.739,
042617Xim_G6_AR2,63,1757,ICM,132.83,285.78,43.34,713.72,1.25E+06,632.08,1.11E+06,248.79,4.37E+05,978.22,1.72E+06,64.598,1.14E+05
042617Xim_G6_AR2,64,13516,TE,304.18,152.15,48.891,623.69,8.43E+06,67.623,9.14E+05,161.63,2.18E+06,663.3,8.97E+06,114.45,1.55E+06
042617Xim_G6_AR2,66,3450,TE,372.17,346.8,48.312,1986.4,6.85E+06,51.63,1.78E+05,37.337,1.29E+05,956.82,3.30E+06,80.462,2.78E+05
042617Xim_G6_AR2,67,14030,ICM,175.8,176.4,51.611,546.13,7.66E+06,335.28,4.70E+06,32.841,4.61E+05,888.37,1.25E+07,98.329,1.38E+06
042617Xim_G6_AR2,68,5963,TE,430.55,280.91,50.933,1589,9.48E+06,39.644,2.36E+05,21.911,1.31E+05,1077.3,6.42E+06,67.41,4.02E+05
042617Xim_G6_AR2,69,16202,TE,149.99,309.99,50.988,476.87,7.73E+06,471.5,7.64E+06,45.767,7.42E+05,782.91,1.27E+07,93.855,1.52E+06
042617Xim_G6_AR2,70,14883,TE,111.78,229.48,55.026,817.55,1.22E+07,658.27,9.80E+06,71.755,1.07E+06,981.18,1.46E+07,101.57,1.51E+06
042617Xim_G6_AR2,70.2,14883,ICM,140,246,55,422.811,1.22E+07,490.709,9.80E+06,290.802,1.07E+06,880.833,1.46E+07,52.73,1.51E+06
042617Xim_G6_AR2,71,12152,ICM,196.24,230.09,52.766,452.85,5.50E+06,270.79,3.29E+06,29.842,3.63E+05,800.2,9.72E+06,232.9,2.83E+06
042617Xim_G6_AR2,73,12020,TE,292.55,365.24,49.641,584.27,7.02E+06,481.86,5.79E+06,37.573,4.52E+05,864.68,1.04E+07,121.39,1.46E+06
042617Xim_G6_AR2,74,13057,TE,351.71,171.89,51.259,731.66,9.55E+06,275.36,3.60E+06,32.868,4.29E+05,829.21,1.08E+07,104.14,1.36E+06
042617Xim_G6_AR2,75,8549,ICM,144.97,202.27,53.244,616.73,5.27E+06,56.588,4.84E+05,217.96,1.86E+06,938.89,8.03E+06,48.936,4.18E+05
042617Xim_G6_AR2,76,3381,ICM,150.2,274.58,52.777,492.13,1.66E+06,418.48,1.41E+06,215.92,7.30E+05,950.68,3.21E+06,61.095,2.07E+05
042617Xim_G6_AR2,77,11024,TE,408.8,179.9,55.968,1232.1,1.36E+07,28.142,3.10E+05,29.994,3.31E+05,1125.9,1.24E+07,48.249,5.32E+05
042617Xim_G6_AR2,78,6447,TE,286.86,173.97,56.161,477.43,3.08E+06,46.895,3.02E+05,137.22,8.85E+05,837.67,5.40E+06,122.5,7.90E+05
042617Xim_G6_AR2,79,10122,TE,250.32,183.22,58.393,554.74,5.62E+06,76.196,7.71E+05,31.643,3.20E+05,854.62,8.65E+06,127.83,1.29E+06
042617Xim_G6_AR2,80,11691,TE,242.86,318.38,58.473,525.17,6.14E+06,328.11,3.84E+06,26.361,3.08E+05,1029.3,1.20E+07,72.503,8.48E+05
042617Xim_G6_AR2,81,9643,TE,344.41,366.43,55.158,659.83,6.36E+06,55.687,5.37E+05,28.009,2.70E+05,788.6,7.60E+06,76.996,7.42E+05
042617Xim_G6_AR2,83,12555,TE,338.22,195.03,60.793,586.36,7.36E+06,49.385,6.20E+05,123.1,1.55E+06,1094.5,1.37E+07,60.621,7.61E+05
042617Xim_G6_AR2,84,8952,TE,280.01,336.06,60.819,431.34,3.86E+06,667.46,5.98E+06,128.47,1.15E+06,1093.8,9.79E+06,88.449,7.92E+05
042617Xim_G6_AR2,85,9379,TE,316.61,349.67,63.36,403.36,3.78E+06,50.27,4.71E+05,83.183,7.80E+05,1115.5,1.05E+07,81.354,7.63E+05
042617Xim_G6_AR2,86,11280,TE,222.48,201.36,64.279,279.34,3.15E+06,45.153,5.09E+05,19.686,2.22E+05,1008.6,1.14E+07,92.004,1.04E+06
042617Xim_G6_AR2,87,11102,TE,387.86,305.43,63.894,408.73,4.54E+06,43.89,4.87E+05,52.982,5.88E+05,929.58,1.03E+07,93.648,1.04E+06
042617Xim_G6_AR2,88,8213,TE,377.08,344.79,60.217,586.92,4.82E+06,46.972,3.86E+05,26.489,2.18E+05,819,6.73E+06,69.915,5.74E+05
042617Xim_G6_AR2,89,7024,TE,296.09,185.9,65.228,406.08,2.85E+06,39.247,2.76E+05,156.62,1.10E+06,951.53,6.68E+06,96.268,6.76E+05
042617Xim_G6_AR2,90,3888,ICM,159.47,256.5,60.454,329.42,1.28E+06,326.67,1.27E+06,192.01,7.47E+05,935.82,3.64E+06,52.979,2.06E+05
042617Xim_G6_AR2,91,9138,TE,413,267.83,66.294,499.23,4.56E+06,29.325,2.68E+05,24.514,2.24E+05,1070.6,9.78E+06,45.064,4.12E+05
042617Xim_G6_AR2,92,14482,TE,185.42,278.68,66.861,227.58,3.30E+06,158.29,2.29E+06,28.131,4.07E+05,888.69,1.29E+07,96.48,1.40E+06
042617Xim_G6_AR2,93,11915,TE,269.9,299.74,68.94,322.47,3.84E+06,470.74,5.61E+06,64.49,7.68E+05,1125.3,1.34E+07,80.332,9.57E+05
042617Xim_G6_AR2,94,8539,TE,301.14,314.6,69.06,429.33,3.67E+06,51.038,4.36E+05,60.879,5.20E+05,1125.2,9.61E+06,89.633,7.65E+05
042617Xim_G6_AR2,96,10611,TE,251.84,270.6,70.281,283.08,3.00E+06,405.82,4.31E+06,29.88,3.17E+05,1122.7,1.19E+07,84.001,8.91E+05
