Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,Gene3,Genotype3,Background,Treatment,target,target_t0,target_killed,Tt_stage,Cellcount_t0,Recovery,Cell_diff,Experimenter,MINS_correct
20170327,20170413,032717Abl_L,L,032717Abl_L7,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,20170413,032717Abl_L,L,032717Abl_L8,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,,032717Abl_MO,MO,032717Abl_MO1,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,8,2,tbd,,24h,kill_0.25,NS,tbd
20170327,,032717Abl_MO,MO,032717Abl_MO2,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,,0,tbd,,24h,zero,NS,tbd
20170327,,032717Abl_MO,MO,032717Abl_MO3,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,18,0,tbd,,24h,zero,NS,tbd
20170327,,032717Abl_MO,MO,032717Abl_MO4,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,,032717Abl_MO,MO,032717Abl_MO5,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,,032717Abl_MO,MO,032717Abl_MO6,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,20170418,032717Abl_N,N,032717Abl_N1,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,15,4,tbd,,24h,kill_0.25,NS,tbd
20170327,20170418,032717Abl_N,N,032717Abl_N2,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,15,4,tbd,,24h,kill_0.25,NS,tbd
20170327,20170418,032717Abl_N,N,032717Abl_N3,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,15,4,tbd,,24h,kill_0.25,NS,tbd
20170327,20170418,032717Abl_N,N,032717Abl_N4,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,NA,0,tbd,,24h,zero,NS,tbd
20170327,20170418,032717Abl_N,N,032717Abl_N5,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,20170418,032717Abl_N,N,032717Abl_N6,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,20170418,032717Abl_N,N,032717Abl_N7,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,,032717Abl_O,O,032717Abl_O1,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,,032717Abl_O,O,032717Abl_O2,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,,032717Abl_O,O,032717Abl_O3,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170327,,032717Abl_O,O,032717Abl_O4,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,tbd
20170403,20170427,040317Abl_Q,Q,040317Abl_Q1,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,13,9,tbd,,24h,kill_0.75,NS,JPH
20170403,20170427,040317Abl_Q,Q,040317Abl_Q2,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,11,8,tbd,,24h,kill_0.75,NS,JPH
20170403,20170427,040317Abl_Q,Q,040317Abl_Q3,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,13,9,tbd,,24h,kill_0.75,NS,JPH
20170403,20170427,040317Abl_Q,Q,040317Abl_Q4,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,11,8,tbd,,24h,kill_0.75,NS,JPH
20170403,20170427,040317Abl_Q,Q,040317Abl_Q5,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,7,5,tbd,,24h,kill_0.75,NS,JPH
20170403,20170427,040317Abl_Q,Q,040317Abl_Q6,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,12,9,tbd,,24h,kill_0.75,NS,JPH
20170403,20170427,040317Abl_Q,Q,040317Abl_Q7,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,NA,0,tbd,,24h,zero,NS,JPH
20170403,20170427,040317Abl_Q,Q,040317Abl_Q8,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,NA,0,tbd,,24h,zero,NS,JPH
20170403,20170427,040317Abl_Q,Q,040317Abl_Q9,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,NA,0,tbd,,24h,zero,NS,JPH
20170403,20170427,040317Abl_Q,Q,040317Abl_Q10,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,NA,0,tbd,,24h,zero,NS,JPH
20170403,20170427,040317Abl_Q,Q,040317Abl_Q11,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,NA,0,tbd,,24h,zero,NS,JPH
20170403,20170427,040317Abl_Q,Q,040317Abl_Q12,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170403,20170427,040317Abl_Q,Q,040317Abl_Q13,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170403,20170427,040317Abl_Q,Q,040317Abl_Q14,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170403,20170427,040317Abl_Q,Q,040317Abl_Q15,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Littermate,PRE,NA,0,tbd,,0min,zero,NS,JPH
20170403,20170419,040317Abl_R,R,040317Abl_R1,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,12,3,tbd,,24h,kill_0.25,NS,JPH
20170403,20170419,040317Abl_R,R,040317Abl_R2,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,9,2,tbd,,24h,kill_0.25,NS,JPH
20170403,20170419,040317Abl_R,R,040317Abl_R3,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,9,2,tbd,,24h,kill_0.25,NS,JPH
20170403,20170419,040317Abl_R,R,040317Abl_R4,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Ablated,PRE,10,2,tbd,,24h,kill_0.25,NS,JPH
20170403,20170419,040317Abl_R,R,040317Abl_R5,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,NA,0,tbd,,24h,zero,NS,JPH
20170403,20170419,040317Abl_R,R,040317Abl_R6,Pdgfra,het,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,NA,0,tbd,,24h,zero,NS,JPH
20170403,20170419,040317Abl_R,R,040317Abl_R7,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,NA,0,tbd,,24h,zero,NS,JPH
20170403,20170419,040317Abl_R,R,040317Abl_R8,Pdgfra,wt,R26,wt,Fgf4,wt,CD1/mixed,Control,PRE,NA,0,tbd,,24h,zero,NS,JPH
