Exp_date,Img_date,Experiment,Litter,Embryo_ID,Gene1,Genotype1,Gene2,Genotype2,ESC_line,Treatment,ES_culture,H_cells,D_cells,Culture_time,Tt_stage,ESC_t0,Cre,Technique,Experimenter,MINS_correct
20160209,20160222,020916Xim_F4KO_P,P,020916Xim_F4KO_P2,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160209,20160222,020916Xim_F4KO_P,P,020916Xim_F4KO_P3,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160209,20160222,020916Xim_F4KO_P,P,020916Xim_F4KO_P4,Fgf4,F4FL_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160209,20160222,020916Xim_F4KO_P,P,020916Xim_F4KO_P5,Fgf4,F4FL_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160209,20160222,020916Xim_F4KO_P,P,020916Xim_F4KO_P6,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160209,20160222,020916Xim_F4KO_P,P,020916Xim_F4KO_P7,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160209,20160222,020916Xim_F4KO_P,P,020916Xim_F4KO_P8,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160209,20160222,020916Xim_F4KO_P,P,020916Xim_F4KO_P9,Fgf4,F4FL_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160209,20160222,020916Xim_F4KO_P,P,020916Xim_F4KO_P10,Fgf4,F4FL_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160210,20160222,021016Xim_F4KO_Q,Q,021016Xim_F4KO_Q1,Fgf4,F4_KO,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160210,20160222,021016Xim_F4KO_Q,Q,021016Xim_F4KO_Q2,Fgf4,F4FL_FL,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160210,20160222,021016Xim_F4KO_Q,Q,021016Xim_F4KO_Q3,Fgf4,F4FL_FL,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,Zp3:Cre,Aggregation,NS,NS
20160210,20160222,021016Xim_F4KO_Q,Q,021016Xim_F4KO_Q4,Fgf4,F4FL_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160210,20160222,021016Xim_F4KO_Q,Q,021016Xim_F4KO_Q5,Fgf4,F4_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160210,20160222,021016Xim_F4KO_Q,Q,021016Xim_F4KO_Q6,Fgf4,F4FL_FL,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160210,20160222,021016Xim_F4KO_Q,Q,021016Xim_F4KO_Q7,Fgf4,F4FL_FL,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160210,20160222,021016Xim_F4KO_Q,Q,021016Xim_F4KO_Q8,Fgf4,F4FL_FL,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160210,20160222,021016Xim_F4KO_Q,Q,021016Xim_F4KO_Q9,Fgf4,F4FL_FL,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160210,20160222,021016Xim_F4KO_Q,Q,021016Xim_F4KO_Q10,Fgf4,F4FL_FL,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160210,20160222,021016Xim_F4KO_Q,Q,021016Xim_F4KO_Q11,Fgf4,F4_KO,any,wt,NA,Control,NA,8,0,51h,8cell,zero,Zp3:Cre,Aggregation,NS,NS
20160719,20160727,071916Xim_WT_T,T,071816Xim_T1,Fgf4,WT,any,wt,NA,Control,NA,8,0,51h,8cell,zero,none,Aggregation,NS,HG
20160719,20160727,071916Xim_WT_T,T,071816Xim_T2,Fgf4,WT,any,wt,NA,Control,NA,8,0,51h,8cell,zero,none,Aggregation,NS,HG
20160719,20160727,071916Xim_WT_T,T,071816Xim_T3,Fgf4,WT,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,none,Aggregation,NS,HG
20160719,20160727,071916Xim_WT_T,T,071816Xim_T4,Fgf4,WT,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,none,Aggregation,NS,HG
20160719,20160727,071916Xim_WT_T,T,071816Xim_T5,Fgf4,WT,any,wt,CAG:H2B-GFP,Chimera,S/LIF,8,8,51h,8cell,5-8c,none,Aggregation,NS,HG
