Exp_date,Img_date,Experiment,Litter,Embryo_ID,H_genotype,D_genotype,Treatment,H_cells,D_cells,Tt_stage,Embryo_size,Experimenter,MINS_correct
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG2,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG3,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG4,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG5,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG6,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG7,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG8,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG9,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG10,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG11,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG12,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG13,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG14,CAG:H2B-GFP,NA,Control,8,0,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG15,CAG:H2B-GFP,NA,Control,8,0,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG16,CAG:H2B-GFP,NA,Control,8,0,8cell,Single,NS,NA
20170127,NA,012717Xim_WT_AG,AG,012717Xim_WT_AG17,CAG:H2B-GFP,NA,Control,8,0,8cell,Single,NS,NA
20170201,20170209,020117Xim_WT_AH,AH,020117Xim_WT_AH1,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170201,20170209,020117Xim_WT_AH,AH,020117Xim_WT_AH2,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170201,20170209,020117Xim_WT_AH,AH,020117Xim_WT_AH3,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170201,20170209,020117Xim_WT_AH,AH,020117Xim_WT_AH4,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170201,20170209,020117Xim_WT_AH,AH,020117Xim_WT_AH5,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170201,20170209,020117Xim_WT_AH,AH,020117Xim_WT_AH6,wt,CAG:H2B-GFP,Chimera,4,4,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI1,wt,NA,Control,8,0,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI2,wt,NA,Control,8,0,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI3,wt,NA,Control,8,0,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI4,wt,NA,Control,8,0,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI5,wt,NA,Control,8,0,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI6,wt,NA,Control,8,0,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI7,wt,NA,Control,8,0,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI8,wt,NA,Control,8,0,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI9,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI10,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI11,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI12,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI13,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI14,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI15,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI16,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI17,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI18,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI19,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170208,20170220,020817Xim_WT_AI,AI,020817Xim_WT_AI20,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ1,wt,NA,Control,8,0,8cell,Single,NS,HG
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ2,wt,NA,Control,8,0,8cell,Single,NS,HG
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ3,wt,NA,Control,8,0,8cell,Single,NS,HG
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ4,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ5,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ6,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ7,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ8,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
20170209,20170221,020917Xim_WT_AJ,AJ,020917Xim_WT_AJ9,wt,CAG:H2B-GFP,Chimera,6,2,8cell,Single,NS,HG
