"","Experiment","Treatment","Genotype1","CH2","CH3","CH5"
"161","100719Abl_FM","Random","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"162","100819Abl_FN","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"163","100819Abl_FN","Control","het","GFP","NANOG.rb","GATA6.gt"
"164","100819Abl_FN","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"165","100819Abl_FN","Random","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"166","102218Abl_DV","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"167","102218Abl_DV","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"168","102218Abl_DW","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"169","102218Abl_DW","Control","het","GFP","NANOG.rb","GATA6.gt"
"170","102218Abl_DW","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"171","102218Abl_DX","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"172","102218Abl_DX","Control","het","GFP","NANOG.rb","GATA6.gt"
"173","102218Abl_DX","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"174","110817Abl_BY","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"175","110817Abl_BY","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"176","111318Abl_DZ","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"177","111318Abl_DZ","Littermate","wt","CDX2.m","NANOG.rb","GATA6.gt"
"178","112018Abl_EA","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"179","112018Abl_EA","Control","het","GFP","NANOG.rb","GATA6.gt"
"180","112018Abl_EA","Control","wt","NANOG.rat","no.ab","GATA6.gt"
"181","112018Abl_EA","Littermate","wt","NANOG.rat","no.ab","GATA6.gt"
"182","121018Abl_EB","Ablated","het","GFP","NANOG.rb","GATA6.gt"
"183","121018Abl_EB","Control","wt","NANOG.rat","GATA4.rb","GATA6.gt"
"184","121018Abl_EB","Littermate","wt","NANOG.rat","GATA4.rb","GATA6.gt"
