"Experiment","Treatment","Genotype1","Genotype2","CH2","CH3","CH5"
"102918Xim_F4_CU.Chimera","Chimera","mosaic","het","GFP","GATA6.rb","tdTomato"
"102918Xim_F4_CU.Chimera","Chimera","mosaic","unknown","GFP","GATA6.rb","tdTomato"
"102918Xim_F4_CU.Control","Control","fl/ko","het","GFP","GATA6.rb","tdTomato"
"102918Xim_F4_CU.Control","Control","fl/ko","wt","GFP","GATA6.rb","tdTomato"
"102918Xim_F4_CU.Control","Control","ko","het","GFP","GATA6.rb","tdTomato"
"102918Xim_F4_CV.Chimera","Chimera","fl/ko","het","NANOG.rat","GATA6.rb","tdTomato"
"102918Xim_F4_CV.Chimera","Chimera","fl/ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"102918Xim_F4_CV.Chimera","Chimera","ko","het","NANOG.rat","GATA6.rb","tdTomato"
"102918Xim_F4_CV.Chimera","Chimera","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"102918Xim_F4_CV.Chimera","Chimera","mosaic","het","NANOG.rat","GATA6.rb","tdTomato"
"102918Xim_F4_CV.Chimera","Chimera","mosaic","wt","NANOG.rat","GATA6.rb","tdTomato"
"102918Xim_F4_CV.Control","Control","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"102918Xim_F4_CV.Control","Control","unknown","het","NANOG.rat","GATA6.rb","tdTomato"
"111418Xim_F4_CY.Chimera","Chimera","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"111418Xim_F4_CY.Chimera","Chimera","mosaic","wt","NANOG.rat","GATA6.rb","tdTomato"
"111418Xim_F4_CY.Control","Control","ko","wt","NANOG.rat","GATA6.rb","tdTomato"
"111418Xim_WT_CW.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"111418Xim_WT_CW.Control","Control","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"111418Xim_WT_CX.Chimera","Chimera","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"111418Xim_WT_CX.Control","Control","wt","wt","NANOG.rat","GATA6.rb","tdTomato"
"112718Xim_F4_DC.Chimera","Chimera","fl/ko","wt","GFP","NANOG.rb","GATA6.gt"
"112718Xim_F4_DC.Chimera","Chimera","ko","wt","GFP","NANOG.rb","GATA6.gt"
"112718Xim_F4_DC.Control","Control","ko","wt","CDX2.m","NANOG.rb","GATA6.gt"
"112718Xim_F4_DD.Chimera","Chimera","fl/ko","wt","GFP","NANOG.rb","GATA6.gt"
"112718Xim_F4_DD.Chimera","Chimera","ko","wt","GFP","NANOG.rb","GATA6.gt"
"112718Xim_F4_DD.Control","Control","ko","wt","CDX2.m","NANOG.rb","GATA6.gt"
"112718Xim_WT_DB.Chimera","Chimera","wt","wt","GFP","NANOG.rb","GATA6.gt"
"112718Xim_WT_DB.Control","Control","wt","wt","CDX2.m","NANOG.rb","GATA6.gt"
